Date,Open,High,Low,Close,Adj Close,Volume
2018-08-27,318.000000,322.440002,297.720001,301.660004,301.660004,40767600
2018-09-03,296.940002,298.190002,252.250000,263.239990,263.239990,46044000
2018-09-10,273.260010,297.329987,271.000000,295.200012,295.200012,46574800
2018-09-17,290.040009,305.980011,275.500000,299.100006,299.100006,44129900
2018-09-24,298.480011,314.959991,260.559998,264.769989,264.769989,59326700
2018-10-01,305.769989,316.839996,260.000000,261.950012,261.950012,69274800
2018-10-08,264.519989,267.760010,247.770004,258.779999,258.779999,53717700
2018-10-15,259.059998,282.700012,253.500000,260.000000,260.000000,39178600
2018-10-22,260.679993,339.899994,252.589996,330.899994,330.899994,92952600
2018-10-29,337.470001,349.200012,322.260010,346.410004,346.410004,47045100
2018-11-05,340.500000,357.579987,330.140015,350.510010,350.510010,34157900
2018-11-12,348.369995,355.700012,330.339996,354.309998,354.309998,29262300
2018-11-19,356.339996,366.750000,325.549988,325.829987,325.829987,26603000
2018-11-26,325.000000,351.600006,325.000000,350.480011,350.480011,27187800
2018-12-03,360.000000,379.489990,350.760010,357.970001,357.970001,36122100
2018-12-10,360.000000,377.869995,353.119995,365.709991,365.709991,31652800
2018-12-17,362.000000,365.700012,311.869995,319.769989,319.769989,40136900
2018-12-24,313.500000,336.239990,294.089996,333.869995,333.869995,32237100
2018-12-31,337.790009,339.209991,297.380005,317.690002,317.690002,32320200
2019-01-07,321.720001,348.410004,317.750000,347.260010,347.260010,31088100
2019-01-14,342.380005,352.000000,299.730011,302.260010,302.260010,43823100
2019-01-21,304.820007,308.000000,279.279999,297.040009,297.040009,39858500
2019-01-28,292.910004,316.100006,287.750000,312.209991,312.209991,42147900
2019-02-04,312.980011,324.239990,298.500000,305.799988,305.799988,31498200
2019-02-11,311.600006,318.600006,301.000000,307.880005,307.880005,26894600
2019-02-18,306.559998,311.540009,290.500000,294.709991,294.709991,25960300
2019-02-25,297.910004,320.000000,288.769989,294.790009,294.790009,59825000
2019-03-04,298.119995,299.000000,270.100006,284.140015,284.140015,64459100
2019-03-11,283.519989,295.390015,274.399994,275.429993,275.429993,43630000
2019-03-18,276.000000,278.049988,263.459991,264.529999,264.529999,43682500
2019-03-25,259.709991,280.329987,254.460007,279.859985,279.859985,39110500
2019-04-01,282.619995,296.170013,260.589996,274.959991,274.959991,58278200
2019-04-08,277.690002,281.160004,265.600006,267.700012,267.700012,39957600
2019-04-15,268.630005,275.000000,258.630005,273.260010,273.260010,28314300
2019-04-22,269.000000,269.679993,231.130005,235.139999,235.139999,78028600
2019-04-29,235.860001,256.609985,231.500000,255.029999,255.029999,78749600
2019-05-06,250.020004,258.350006,236.020004,239.520004,239.520004,40861400
2019-05-13,232.009995,234.500000,208.919998,211.029999,211.029999,50653200
2019-05-20,202.800003,207.399994,186.220001,190.630005,190.630005,97899000
2019-05-27,191.199997,195.000000,184.100006,185.160004,185.160004,40614700
2019-06-03,185.509995,211.000000,176.990005,204.500000,204.500000,76628400
2019-06-10,210.250000,223.380005,207.509995,214.919998,214.919998,53026400
2019-06-17,215.479996,234.740005,214.270004,221.860001,221.860001,51673300
2019-06-24,223.240005,227.229996,217.350006,223.460007,223.460007,33631200
2019-07-01,230.210007,241.570007,222.220001,233.100006,233.100006,38763800
2019-07-08,231.240005,245.380005,227.279999,245.080002,245.080002,37931900
2019-07-15,248.000000,259.959991,244.860001,258.179993,258.179993,40726700
