Date,Open,High,Low,Close,Adj Close,Volume
2019-08-26,18.010000,18.139999,17.360001,17.500000,16.939573,12999100
2019-08-27,17.700001,17.780001,17.209999,17.309999,16.755657,10316700
2019-08-28,17.290001,18.260000,16.969999,18.000000,17.423561,14771300
2019-08-29,18.190001,18.790001,18.180000,18.530001,17.936590,13070400
2019-08-30,18.610001,19.129999,18.510000,18.840000,18.236660,12154600
2019-09-03,18.200001,18.830000,18.129999,18.760000,18.334393,13125600
2019-09-04,19.030001,19.160000,18.709999,18.760000,18.334393,12794000
2019-09-05,18.950001,19.530001,18.940001,19.000000,18.568947,12560800
2019-09-06,18.910000,19.129999,18.540001,19.090000,18.656906,10921200
2019-09-09,19.280001,20.200001,19.219999,19.950001,19.497396,13565300
2019-09-10,20.200001,20.709999,19.910000,20.030001,19.575583,16748500
2019-09-11,20.129999,20.600000,19.760000,20.049999,19.595125,14736400
2019-09-12,19.459999,20.000000,19.100000,19.750000,19.301933,13410400
2019-09-13,20.129999,20.450001,19.770000,20.270000,19.810137,10717200
2019-09-16,21.459999,22.750000,21.379999,22.490000,21.979771,36553100
2019-09-17,22.280001,22.280001,20.820000,21.030001,20.552895,19353900
2019-09-18,20.879999,21.150000,20.559999,20.809999,20.337883,15049000
2019-09-19,21.150000,21.320000,20.879999,20.920000,20.445391,12901700
2019-09-20,20.910000,21.059999,20.280001,20.440001,19.976278,15934600
2019-09-23,20.320000,20.850000,20.230000,20.610001,20.142422,11085400
2019-09-24,20.400000,20.500000,19.400000,19.490000,19.047831,18536300
2019-09-25,19.129999,19.480000,19.090000,19.440001,18.998968,10550700
2019-09-26,19.250000,19.350000,18.860001,19.270000,18.832821,10841000
2019-09-27,19.040001,19.480000,18.590000,18.730000,18.305073,14587700
2019-09-30,18.610001,19.020000,18.549999,18.850000,18.422352,9884200
2019-10-01,19.000000,19.160000,18.360001,18.580000,18.158478,12198100
2019-10-02,18.580000,18.900000,18.100000,18.170000,17.757778,12056800
2019-10-03,18.059999,18.660000,18.030001,18.639999,18.217115,10074200
2019-10-04,18.670000,18.930000,18.270000,18.549999,18.129158,7944900
2019-10-07,18.629999,18.799999,18.330000,18.360001,17.943468,8287800
2019-10-08,18.139999,18.600000,18.040001,18.250000,17.835962,11337600
2019-10-09,18.389999,18.500000,18.020000,18.270000,17.855511,11083800
2019-10-10,18.370001,18.610001,18.219999,18.430000,18.011881,9799100
2019-10-11,18.629999,19.110001,18.600000,18.950001,18.520084,10477700
2019-10-14,18.620001,18.830000,18.049999,18.760000,18.334393,9185800
2019-10-15,18.719999,19.180000,18.580000,18.700001,18.275755,11120800
2019-10-16,18.660000,18.910000,18.290001,18.299999,17.884827,9417800
2019-10-17,18.420000,18.660000,18.260000,18.510000,18.090063,13595800
2019-10-18,18.570000,19.209999,18.430000,18.430000,18.011881,26677300
2019-10-21,18.150000,20.000000,18.100000,19.610001,19.165110,27859700
2019-10-22,19.809999,20.100000,19.200001,19.900000,19.448530,14548100
2019-10-23,19.709999,20.400000,19.420000,20.209999,19.751497,11784100
2019-10-24,20.299999,20.360001,19.530001,19.910000,19.458303,9416900
2019-10-25,19.889999,20.520000,19.790001,20.480000,20.015369,13148300
2019-10-28,20.600000,20.639999,20.219999,20.299999,19.839455,12464800
2019-10-29,20.049999,20.530001,19.930000,20.379999,19.917639,11592000
2019-10-30,20.400000,20.450001,19.420000,19.440001,18.998968,13151500
2019-10-31,19.320000,19.440001,18.860001,19.250000,18.813276,10693300
2019-11-01,19.420000,20.129999,19.350000,20.090000,19.634218,11548200
2019-11-04,20.500000,21.090000,20.480000,21.070000,20.591986,16301100
2019-11-05,21.160000,21.410000,20.850000,21.049999,20.572439,14116000
2019-11-06,20.910000,21.090000,20.420000,20.600000,20.132648,11389800
2019-11-07,20.959999,21.400000,20.860001,20.959999,20.484480,8367700
2019-11-08,20.700001,21.299999,20.450001,21.280001,20.797224,9603400
2019-11-11,20.969999,21.280001,20.660000,21.250000,20.767902,6712900
2019-11-12,21.280001,21.440001,20.879999,21.030001,20.552895,6971200
2019-11-13,20.910000,20.910000,20.510000,20.620001,20.152195,7355600
2019-11-14,20.620001,20.920000,20.280001,20.330000,19.868774,6247700
2019-11-15,20.440001,20.799999,20.340000,20.480000,20.015369,9152100
2019-11-18,20.290001,20.290001,19.709999,20.160000,19.702633,8836400
2019-11-19,20.020000,20.070000,19.580000,19.900000,19.448530,10244400
2019-11-20,20.010000,20.889999,19.799999,20.530001,20.064238,12520300
2019-11-21,20.730000,21.200001,20.549999,21.129999,20.650625,10522600
2019-11-22,20.980000,21.250000,20.809999,20.990000,20.513800,7404000
2019-11-25,20.930000,21.360001,20.750000,21.340000,20.855860,7804800
2019-11-26,21.180000,21.280001,20.690001,20.830000,20.357431,10678100
2019-11-27,20.840000,21.520000,20.750000,21.410000,20.924273,9061900
2019-11-29,21.049999,21.180000,20.860001,20.990000,20.513800,6437400
2019-12-02,21.100000,21.490000,21.049999,21.290001,20.806995,10234100
2019-12-03,20.840000,21.030001,20.450001,20.790001,20.318340,13049600
2019-12-04,20.850000,21.709999,20.830000,21.469999,21.166166,12904400
2019-12-05,21.600000,21.740000,21.240000,21.420000,21.116875,10274500
2019-12-06,21.400000,22.340000,21.360001,22.330000,22.013996,13910800
2019-12-09,22.049999,22.740000,22.049999,22.570000,22.250601,12210900
2019-12-10,22.690001,22.920000,22.530001,22.790001,22.467487,13220800
2019-12-11,22.809999,23.450001,22.799999,23.379999,23.049137,13972800
2019-12-12,23.510000,24.510000,23.440001,24.299999,23.956118,16237100
2019-12-13,24.379999,24.680000,23.969999,23.990000,23.650505,14103500
2019-12-16,24.250000,24.770000,24.250000,24.350000,24.005411,13360600
2019-12-17,24.350000,24.820000,24.290001,24.690001,24.340601,24723100
2019-12-18,24.540001,24.770000,24.340000,24.540001,24.192724,14949200
2019-12-19,24.459999,24.799999,24.350000,24.480000,24.133570,13319500
2019-12-20,24.600000,24.809999,24.350000,24.490000,24.143431,16971100
2019-12-23,24.480000,24.950001,24.469999,24.889999,24.537767,11847800
2019-12-24,24.910000,25.340000,24.780001,24.860001,24.508194,5828500
2019-12-26,24.930000,24.990000,24.420000,24.540001,24.192724,10144900
2019-12-27,24.549999,24.690001,24.320000,24.400000,24.054703,8452600
2019-12-30,24.570000,24.990000,24.510000,24.559999,24.212439,9078400
2019-12-31,24.350000,24.510000,24.129999,24.469999,24.123713,10702100
2020-01-02,24.690001,24.840000,24.420000,24.680000,24.330742,9125500
2020-01-03,25.290001,25.450001,24.580000,24.760000,24.409609,11562600
2020-01-06,25.000000,25.469999,24.750000,25.389999,25.030693,14422600
2020-01-07,25.350000,25.350000,24.219999,24.670000,24.320883,12406300
2020-01-08,24.469999,24.620001,23.760000,24.049999,23.709656,14021100
2020-01-09,24.090000,24.299999,23.469999,24.190001,23.847677,13480200
2020-01-10,24.139999,24.230000,23.930000,24.080000,23.739233,8385000
2020-01-13,23.950001,23.969999,23.590000,23.750000,23.413902,11442700
2020-01-14,23.590000,24.040001,23.370001,23.940001,23.601213,13325200
2020-01-15,23.760000,23.879999,23.490000,23.570000,23.236450,9940800
2020-01-16,23.719999,24.010000,23.660000,23.809999,23.473053,10188100
2020-01-17,24.000000,24.230000,23.830000,23.959999,23.620930,14378500
2020-01-21,23.780001,24.520000,23.610001,23.770000,23.433619,21047800
2020-01-22,23.809999,24.150000,23.660000,23.930000,23.591356,12042500
2020-01-23,23.680000,23.700001,23.160000,23.580000,23.246309,12567900
2020-01-24,23.500000,23.500000,22.830000,23.100000,22.773100,11684500
2020-01-27,22.400000,22.520000,21.570000,21.650000,21.343620,18996600
2020-01-28,21.799999,22.110001,21.440001,22.080000,21.767534,8773600
2020-01-29,22.330000,22.430000,21.620001,21.629999,21.323902,10328600
2020-01-30,21.230000,21.969999,21.200001,21.950001,21.639376,10652100
2020-01-31,21.480000,21.889999,21.230000,21.809999,21.501356,12501900
2020-02-03,21.809999,21.930000,21.430000,21.500000,21.195744,11485800
2020-02-04,21.969999,22.160000,21.610001,21.670000,21.363337,11941000
2020-02-05,22.190001,22.870001,22.080000,22.580000,22.260460,12034200
2020-02-06,22.680000,22.700001,22.030001,22.260000,21.944988,8205500
2020-02-07,21.940001,22.100000,21.680000,21.799999,21.491497,10241400
2020-02-10,21.510000,21.600000,21.290001,21.400000,21.097158,10099000
2020-02-11,21.770000,21.860001,21.500000,21.730000,21.422487,12984000
2020-02-12,22.270000,22.559999,21.900000,22.350000,22.033716,9893900
2020-02-13,22.139999,22.400000,21.900000,22.190001,21.875978,10072300
2020-02-14,22.240000,22.350000,21.840000,22.120001,21.806971,8415500
2020-02-18,21.820000,21.980000,21.389999,21.860001,21.550650,8500200
2020-02-19,21.980000,22.350000,21.950001,22.280001,21.964705,7035300
2020-02-20,22.520000,22.580000,21.940001,21.950001,21.639376,7202300
2020-02-21,21.639999,21.670000,20.889999,21.260000,20.959139,11631000
2020-02-24,20.250000,20.280001,19.740000,19.830000,19.549376,12540100
2020-02-25,19.950001,20.010000,18.760000,19.010000,18.740980,13038300
2020-02-26,19.230000,19.270000,18.330000,18.400000,18.139612,16143400
2020-02-27,17.690001,18.430000,17.270000,17.389999,17.143904,20069300
2020-02-28,16.760000,17.150000,16.299999,16.959999,16.719990,27296100
2020-03-02,17.250000,17.270000,16.370001,17.219999,16.976311,20530300
